iter	Passed	Remaining
407	4267	6191
408	4278	6181
409	4289	6171
410	4298	6160
411	4311	6153
412	4322	6142
413	4331	6131
414	4341	6119
415	4349	6106
416	4358	6094
417	4367	6081
418	4377	6069
419	4386	6057
420	4394	6044
421	4403	6031
422	4413	6020
423	4423	6009
424	4431	5996
425	4442	5986
426	4452	5974
427	4460	5961
428	4470	5949
429	4479	5937
430	4488	5925
431	4496	5912
432	4506	5901
433	4515	5888
434	4524	5876
435	4534	5865
436	4542	5852
437	4551	5840
438	4560	5827
439	4571	5818
440	4581	5807
441	4592	5797
442	4602	5786
443	4612	5776
444	4624	5767
445	4635	5758
446	4645	5746
447	4656	5737
448	4667	5727
449	4677	5717
450	4689	5708
451	4700	5698
452	4710	5688
453	4721	5678
454	4732	5668
455	4741	5656
456	4750	5644
457	4761	5634
458	4770	5622
459	4780	5611
460	4788	5598
461	4797	5586
462	4805	5573
463	4816	5563
464	4826	5553
465	4837	5543
466	4848	5533
467	4858	5523
468	4869	5513
469	4881	5504
470	4892	5494
471	4903	5485
472	4914	5475
473	4925	5465
474	4936	5456
475	4947	5446
476	4958	5436
477	4969	5426
478	4978	5415
479	4988	5403
480	4997	5392
481	5006	5380
482	5015	5368
483	5025	5357
484	5034	5345
485	5042	5333
486	5050	5320
487	5059	5308
488	5068	5296
489	5077	5285
490	5086	5273
491	5095	5261
492	5103	5248
493	5112	5237
494	5121	5225
495	5130	5213
496	5141	5203
497	5151	5193
498	5164	5185
499	5176	5176
500	5187	5166
501	5198	5157
502	5208	5146
503	5219	5137
504	5231	5127
505	5241	5117
506	5252	5107
507	5264	5098
508	5275	5089
509	5285	5078
510	5296	5068
511	5306	5057
512	5315	5046
513	5325	5035
514	5334	5023
515	5343	5012
516	5353	5001
517	5362	4989
518	5371	4977
519	5379	4965
520	5389	4954
521	5396	4941
522	5406	4930
523	5415	4919
524	5425	4908
525	5434	4896
526	5442	4885
527	5452	4874
528	5462	4863
529	5474	4854
530	5483	4843
531	5494	4833
532	5505	4823
533	5515	4813
534	5526	4803
535	5537	4793
536	5546	4782
537	5557	4772
538	5569	4763
539	5580	4754
540	5592	4744
541	5604	4735
542	5615	4725
543	5624	4714
544	5633	4703
545	5642	4691
546	5651	4680
547	5659	4668
548	5668	4656
549	5676	4644
550	5686	4633
551	5695	4622
552	5704	4611
553	5715	4601
554	5726	4591
555	5737	4581
556	5747	4571
557	5757	4560
558	5767	4550
559	5777	4539
560	5789	4530
561	5799	4520
562	5810	4509
563	5821	4500
564	5832	4490
565	5842	4479
566	5852	4469
567	5862	4459
568	5872	4448
569	5881	4436
570	5890	4425
571	5899	4414
572	5908	4403
573	5918	4392
574	5926	4380
575	5935	4369
576	5945	4358
577	5955	4347
578	5967	4338
579	5981	4331
580	5995	4323
581	6008	4315
582	6020	4306
583	6033	4297
584	6044	4288
585	6056	4278
586	6069	4270
587	6081	4261
588	6093	4252
589	6104	4242
590	6116	4232
591	6126	4222
592	6135	4211
593	6146	4200
594	6155	4189
595	6166	4180
596	6177	4169
597	6186	4159
598	6196	4148
599	6205	4137
600	6215	4126
601	6227	4117
602	6237	4106
603	6249	4097
604	6261	4087
605	6271	4077
606	6281	4067
607	6292	4056
608	6302	4046
609	6314	4036
610	6325	4027
611	6336	4017
612	6347	4007
613	6358	3997
614	6371	3988
615	6382	3978
616	6394	3969
617	6404	3959
618	6416	3949
619	6427	3939
620	6437	3929
621	6447	3918
622	6460	3909
623	6469	3898
624	6478	3887
625	6487	3876
626	6496	3864
627	6506	3853
628	6514	3842
629	6523	3831
630	6532	3820
631	6541	3809
632	6550	3798
633	6561	3787
634	6571	3777
635	6581	3767
636	6593	3757
637	6604	3747
638	6614	3736
639	6625	3726
640	6636	3716
641	6646	3706
642	6657	3696
643	6669	3686
644	6678	3675
645	6689	3665
646	6700	3656
647	6711	3645
648	6721	3635
649	6730	3623
650	6739	3612
651	6748	3601
652	6756	3590
653	6766	3579
654	6775	3568
655	6784	3557
656	6793	3546
657	6802	3535
658	6810	3523
659	6819	3512
660	6827	3501
661	6837	3491
662	6848	3480
663	6857	3470
664	6866	3459
665	6875	3448
666	6884	3436
667	6893	3425
668	6902	3415
669	6911	3404
670	6920	3393
671	6929	3382
672	6938	3371
673	6947	3360
674	6955	3349
675	6965	3338
676	6974	3327
677	6985	3317
678	6996	3307
679	7007	3297
680	7018	3287
681	7029	3277
682	7039	3267
683	7051	3257
684	7062	3247
685	7073	3237
686	7084	3227
687	7096	3218
688	7106	3207
689	7116	3197
690	7126	3187
691	7135	3175
692	7144	3165
693	7153	3154
694	7163	3143
695	7173	3133
696	7182	3122
697	7191	3111
698	7199	3100
699	7208	3089
700	7218	3078
701	7227	3068
702	7236	3057
703	7245	3046
704	7253	3035
705	7262	3024
706	7271	3013
707	7280	3002
708	7289	2991
709	7298	2981
710	7308	2970
711	7317	2959
712	7326	2949
713	7335	2938
714	7345	2927
715	7354	2917
716	7363	2906
717	7374	2896
718	7383	2885
719	7392	2874
720	7401	2864
721	7410	2853
722	7419	2842
723	7428	2831
724	7438	2821
725	7447	2810
726	7456	2800
727	7466	2789
728	7476	2779
729	7487	2769
730	7497	2759
731	7509	2749
732	7520	2739
733	7531	2729
734	7543	2719
735	7554	2709
736	7564	2699
737	7576	2689
738	7587	2679
739	7597	2669
740	7608	2659
741	7619	2649
742	7627	2638
743	7637	2627
744	7645	2617
745	7654	2606
746	7663	2595
747	7672	2584
748	7682	2574
749	7692	2564
750	7701	2553
751	7711	2543
752	7720	2532
753	7728	2521
754	7737	2510
755	7746	2500
756	7756	2489
757	7765	2479
758	7774	2468
759	7783	2458
760	7792	2447
761	7802	2436
762	7810	2426
763	7820	2415
764	7828	2404
765	7838	2394
766	7847	2383
767	7855	2373
768	7865	2362
769	7874	2352
770	7884	2341
771	7893	2331
772	7902	2320
773	7911	2310
774	7920	2299
775	7929	2289
776	7938	2278
777	7946	2267
778	7954	2256
779	7964	2246
780	7973	2235
781	7982	2225
782	7990	2214
783	7999	2204
784	8008	2193
785	8018	2183
786	8027	2172
787	8037	2162
788	8049	2152
789	8060	2142
790	8070	2132
791	8081	2122
792	8090	2112
793	8101	2101
794	8112	2091
795	8122	2081
796	8133	2071
797	8145	2061
798	8156	2051
799	8168	2042
