iter	MultiClass
126	0.3742845268
127	0.3721759721
128	0.3710570429
129	0.369755731
130	0.3682019508
131	0.3671465873
132	0.3661710355
133	0.3646328396
134	0.3630437414
135	0.3616472371
136	0.3604098354
137	0.3596595159
138	0.3581255847
139	0.3572793419
140	0.3565291872
141	0.353442015
142	0.3520548688
143	0.3508094699
144	0.3489567062
145	0.3467760694
146	0.3459137615
147	0.3447452689
148	0.3430884282
149	0.3416996601
150	0.340668583
151	0.3396120147
152	0.338723619
153	0.3378477273
154	0.3368234043
155	0.3354087187
156	0.3337770988
157	0.3325018185
158	0.3315994445
159	0.3294720095
160	0.3287407731
161	0.3273920635
162	0.3258461372
163	0.3248015727
164	0.3239556373
165	0.3225506302
166	0.3212306554
167	0.3198014854
168	0.3185746226
169	0.3170813265
170	0.3154174712
171	0.3142313391
172	0.3133280336
173	0.3114132761
174	0.3104166562
175	0.3096532422
176	0.3090639277
177	0.3084419152
178	0.3076883351
179	0.3070637787
180	0.3059179114
181	0.3040149166
182	0.3029548552
183	0.3020507908
184	0.3007751838
185	0.3000403917
186	0.2991698512
187	0.2987975846
188	0.2977851846
189	0.2967371452
190	0.2962990125
191	0.2956464834
192	0.2948878977
193	0.2932576839
194	0.292362811
195	0.2913144885
196	0.2908062893
197	0.2898190786
198	0.2890599441
199	0.2884272339
200	0.2875326104
201	0.286678879
202	0.2858345368
203	0.2848261939
204	0.28388155
205	0.283404952
206	0.2826893456
207	0.282177339
208	0.2813157215
209	0.2802016482
210	0.2794110314
211	0.2790326033
212	0.2780788075
213	0.277169526
214	0.2765654542
215	0.2752150636
216	0.2747820363
217	0.2737401898
218	0.2731360169
219	0.2726180837
220	0.271790288
221	0.2708934754
222	0.2705481063
223	0.2700979404
224	0.2687865629
225	0.2678921288
226	0.2669933334
227	0.2660153088
228	0.265062056
229	0.2643667666
230	0.2635719052
231	0.2628961322
232	0.262318881
233	0.2611308006
234	0.2604251734
235	0.2598129878
236	0.2592421424
237	0.2582485907
238	0.2572419484
239	0.2559538099
240	0.2556285491
241	0.2550282623
242	0.2541510169
243	0.2536577695
244	0.2529517653
245	0.2522797627
246	0.2514436928
247	0.2507230836
248	0.2499158726
249	0.2494182665
250	0.2487618614
251	0.2482768227
252	0.2474217624
253	0.2468572264
254	0.2460079818
255	0.2452286269
256	0.2447138967
257	0.244226232
258	0.243601691
259	0.2429019106
260	0.2424797368
261	0.2413986526
262	0.2406911756
263	0.2397405206
264	0.2392833935
265	0.2386267258
266	0.2381860092
267	0.2372871238
268	0.2362293171
269	0.2354713567
270	0.2349897816
271	0.2345410384
272	0.2339995914
273	0.233509416
274	0.2330798728
275	0.2325087838
276	0.2318198193
277	0.2312914793
278	0.2306846679
279	0.2301980375
280	0.2297952257
281	0.2287650635
282	0.2280253126
283	0.2271606461
284	0.226866983
285	0.2263906951
286	0.2258696044
287	0.2253426264
288	0.2248857066
289	0.2242475728
290	0.2236346023
291	0.2229430112
292	0.22256462
293	0.2218833701
294	0.2213031825
295	0.2207488521
296	0.2204002551
297	0.2198845463
298	0.2194510341
299	0.2189814485
300	0.2185922424
301	0.2182569684
302	0.2179780307
303	0.2177288847
304	0.2172210417
305	0.2169047029
306	0.2165205307
307	0.2162494322
308	0.2156494266
309	0.21524616
310	0.2147676126
311	0.2144991994
312	0.2142063874
313	0.214003446
314	0.2135094979
315	0.2130368729
316	0.2125523394
317	0.2122778885
318	0.2118764997
319	0.2113631559
320	0.2107764934
321	0.2103333673
322	0.2099915182
323	0.2094984609
324	0.2089526276
325	0.2087161927
326	0.2083934171
327	0.2079256362
328	0.2075900212
329	0.2072896079
330	0.2067685531
331	0.2064053257
332	0.2059859449
333	0.2054418701
334	0.2050750342
335	0.2046124639
336	0.2039332722
337	0.2036511403
338	0.2034350656
339	0.2032242391
340	0.2030198187
341	0.2027445422
342	0.2022838404
343	0.2018829484
344	0.2014526083
345	0.2011574773
346	0.2009756402
347	0.2005402122
348	0.2001186697
349	0.1995034278
350	0.1992778324
351	0.1988874215
352	0.1985714202
353	0.1983219892
354	0.1980978774
355	0.1978560291
356	0.1973229975
357	0.1970536774
358	0.196826608
359	0.1965439218
360	0.1960492269
361	0.1957276776
362	0.1954860128
363	0.1950896924
364	0.1947571898
365	0.1942350857
366	0.194015212
367	0.1935897001
368	0.1928263197
369	0.1924838
370	0.1922205442
371	0.1916845747
372	0.1915062185
373	0.191052498
374	0.1907836232
375	0.1904588883
376	0.19029699
377	0.1899973525
378	0.1898828559
379	0.1897883313
380	0.1893593166
381	0.189147259
382	0.1889282212
383	0.1887257238
384	0.1885156913
385	0.1882046242
386	0.1879620182
387	0.1876321254
388	0.187187235
389	0.1868474371
390	0.1866111093
391	0.1862574214
392	0.1859061381
393	0.1856610326
394	0.1853844474
395	0.1850332997
396	0.1848392613
397	0.1844236135
398	0.1841488711
399	0.1838664405
400	0.1836869171
401	0.1834580453
402	0.1832476009
403	0.1829306953
404	0.1827024363
405	0.1822217803
406	0.1819623691
407	0.1817036158
408	0.1812914083
409	0.1810222023
410	0.1806584136
411	0.1801923297
412	0.1798235602
413	0.1793123198
414	0.1792288777
415	0.1790062525
416	0.1787876026
417	0.1786040963
418	0.1784024583
419	0.1781384059
420	0.1779877968
421	0.1777538523
422	0.176908399
423	0.1765173879
424	0.1761755189
425	0.1755761113
426	0.1753418978
427	0.1750703164
428	0.1747953068
429	0.1744583705
430	0.1743747008
431	0.1742349635
432	0.1739361033
433	0.1738055774
434	0.1734301491
435	0.1731535026
436	0.1730164932
437	0.1727756106
438	0.1723976257
439	0.17210854
440	0.1720326948
441	0.1717869377
442	0.1716917323
443	0.1713265539
444	0.1711462022
445	0.1708868551
446	0.1705758953
447	0.1703657108
448	0.169791123
449	0.1696342117
450	0.1692665631
451	0.1690187053
452	0.1688869815
453	0.1686161403
454	0.1681392984
455	0.1679745974
456	0.1678921731
457	0.167621021
458	0.1675185169
459	0.1673047044
460	0.1672068175
461	0.1668857722
462	0.1667065656
463	0.1664734776
464	0.1663418918
465	0.1659981719
466	0.1659049781
467	0.1656348487
468	0.1653579442
469	0.1650149938
470	0.1647036122
471	0.1644330682
472	0.1642560056
473	0.1639444777
474	0.1637144123
475	0.1635905634
476	0.163480308
477	0.1631012991
478	0.1628587775
479	0.1626166944
480	0.16235423
481	0.1621104003
482	0.1619921487
483	0.161678225
484	0.1611795335
485	0.1610199524
486	0.1607890412
487	0.1604378153
488	0.1602239543
489	0.1600100048
490	0.159770379
491	0.1595135785
492	0.159368063
493	0.1591966537
494	0.1588824608
495	0.1586170635
496	0.1584266139
497	0.1580427535
498	0.1579455404
499	0.157713808
500	0.1574968547
501	0.1573055467
502	0.1572444441
503	0.1569645229
504	0.1568171091
505	0.1566119986
506	0.1563580934
507	0.1561532536
508	0.155789563
509	0.1555676614
510	0.155449417
511	0.1552132546
512	0.1550286508
513	0.1546792945
514	0.154546548
515	0.154386011
516	0.1540939887
517	0.1538505507
518	0.153695839
519	0.1535725435
520	0.1534052031
521	0.1532677188
522	0.1530525604
523	0.1527878364
524	0.1526219244
525	0.1523525246
526	0.1521690958
527	0.1519350234
528	0.1515631536
529	0.1514027578
530	0.1513119276
531	0.1510762123
532	0.1509468591
533	0.150675449
534	0.1504775185
535	0.1503213697
536	0.1501717849
537	0.1500448744
538	0.1497128539
539	0.1495617239
540	0.1494624556
541	0.1493012463
542	0.1490364654
543	0.1488728278
544	0.1487045105
545	0.1485691428
546	0.1484437131
547	0.1483387848
548	0.1482397202
549	0.1481618603
550	0.148047226
551	0.1479746815
552	0.1477540606
553	0.147452756
554	0.147211582
555	0.147087916
556	0.1468592386
557	0.1467586622
558	0.146557868
559	0.1464192938
560	0.1461706428
561	0.146020752
562	0.1457494258
563	0.1456209095
564	0.1454211855
565	0.1452565533
566	0.1451684943
567	0.1450371181
568	0.1447349492
569	0.144667677
570	0.1445501419
571	0.1444751104
572	0.1442235523
573	0.1441239649
574	0.1440447104
575	0.1439323019
576	0.1437528183
577	0.1436402798
578	0.1435474195
579	0.1433022627
580	0.1431502931
581	0.1430680446
582	0.1429441089
583	0.1428011002
584	0.1427265274
585	0.1425071672
586	0.1424052671
587	0.1421648464
588	0.1419837203
589	0.1418653666
590	0.1416876954
591	0.1414985921
592	0.1413989684
593	0.1413235096
594	0.1411686109
595	0.1408413843
596	0.1407563767
597	0.1406665026
598	0.1405126553
599	0.1402744711
600	0.1401901869
601	0.1400218771
602	0.1398028286
603	0.1395802093
604	0.1393144869
605	0.139147465
606	0.1390138301
607	0.1389158262
608	0.1387664557
609	0.1385857157
610	0.1384339492
611	0.1382249956
612	0.138073997
613	0.1378297911
614	0.137634136
615	0.1375776952
616	0.137495519
617	0.1373722813
618	0.1372453216
619	0.1371117362
620	0.1369685403
621	0.1367312792
622	0.1364624469
623	0.1363548592
624	0.1361285143
625	0.13605711
626	0.1358123871
627	0.1356825577
628	0.1355994004
629	0.1354800246
630	0.1352749171
631	0.1352019912
632	0.1350898949
633	0.134879902
634	0.1347647871
635	0.1346646483
636	0.1345175693
637	0.1344652971
638	0.1343806329
639	0.1342551082
640	0.1341199159
641	0.1340523096
642	0.1339487213
643	0.1337446197
644	0.1336830819
645	0.1336068414
646	0.1334503043
647	0.1331365016
648	0.1330193382
649	0.132915477
650	0.1328255823
651	0.1326384352
652	0.1324784307
653	0.1323491955
654	0.132219882
655	0.1320766118
656	0.1319439661
657	0.1318852585
658	0.1318414167
659	0.1317605281
660	0.1316918404
661	0.1315395187
662	0.1313324291
663	0.1312654227
664	0.1311759793
665	0.1310182812
666	0.130987445
667	0.1307160421
668	0.1306332571
669	0.1303834329
670	0.1302853082
671	0.1301233584
672	0.1299994638
673	0.1297702269
674	0.1296821792
675	0.1295232331
676	0.1294752398
677	0.1293346291
678	0.1291946489
679	0.1290381241
680	0.1289831471
681	0.1288614457
682	0.1287966475
683	0.1286742269
684	0.128535098
685	0.128423816
686	0.1282459189
687	0.1280097259
688	0.1279436333
689	0.1278752527
690	0.1277962295
691	0.1277342517
692	0.1276266838
693	0.1274214677
694	0.127186701
695	0.1270615925
696	0.1269462503
697	0.1268776933
698	0.1267866872
699	0.1267233559
700	0.1264971848
701	0.1263675404
702	0.1262669163
703	0.1261941349
704	0.1261396854
705	0.1260334436
706	0.1259025011
707	0.1257775123
708	0.1256733441
709	0.1255436194
710	0.1254364335
711	0.1253505116
712	0.1251750758
713	0.1249982555
714	0.1249012496
715	0.1248057478
716	0.1246422659
717	0.124426926
718	0.1242691312
719	0.1241330211
720	0.1240514967
721	0.1239384351
722	0.1238343956
723	0.1236919025
724	0.12358818
725	0.123480539
726	0.1234566291
727	0.1233501123
728	0.1232765523
729	0.1231603176
730	0.123005065
731	0.12289435
732	0.1227079796
733	0.1225461481
734	0.1224330199
735	0.122331772
736	0.1222303421
737	0.1221196911
738	0.1219873998
739	0.1217530167
740	0.1216423665
741	0.1214867442
742	0.1214140189
743	0.1212749828
744	0.1211315312
745	0.1210996262
746	0.1209638502
747	0.1209007167
748	0.1208054137
749	0.1206475239
750	0.1205906218
751	0.1203014958
752	0.1201949811
753	0.1201562523
754	0.1201165259
755	0.1200014165
756	0.1199601544
757	0.1198594044
758	0.1198059226
759	0.1197018629
760	0.1195597367
761	0.1193864315
762	0.1191839663
763	0.1190348446
764	0.1189256545
765	0.118827387
766	0.1186712084
767	0.1185660877
768	0.1184290059
769	0.1183684297
770	0.1182300512
771	0.1180724121
772	0.117980995
773	0.1178457587
774	0.1177809092
775	0.1177033522
776	0.1176121198
777	0.1175766413
778	0.1174874459
779	0.1173607893
780	0.1172185679
781	0.1170642754
782	0.1170119727
783	0.1169600937
784	0.1168516604
785	0.1167859025
786	0.1167012042
787	0.1165127781
788	0.1163453466
789	0.1162480696
790	0.1161394104
791	0.1160185794
792	0.1159783392
793	0.1159392435
794	0.1158655707
795	0.1157027604
796	0.115568339
797	0.115498197
798	0.1154422035
799	0.1153202625
800	0.1152671518
801	0.1151806823
802	0.1150954268
803	0.1150239418
804	0.1149336406
805	0.1147790295
806	0.1147171624
807	0.1146879411
808	0.1145697097
809	0.1144629404
810	0.1144149509
811	0.1143423754
812	0.1142307498
813	0.1141156239
814	0.1139869647
815	0.1138099669
816	0.1137314625
817	0.1136747924
818	0.1135655153
819	0.1134920676
820	0.1134372935
821	0.1133385643
822	0.1132650853
823	0.1131880271
824	0.1131016128
825	0.112910055
826	0.1127743195
827	0.1127125061
828	0.1126126438
829	0.1125758483
830	0.1125147273
831	0.1124345179
832	0.1123834737
833	0.1123397311
834	0.1122467015
835	0.112098256
836	0.1120458891
837	0.111944665
838	0.1119274699
839	0.1118148677
840	0.111705764
841	0.1116516223
842	0.1115280897
843	0.111494058
844	0.1114481934
845	0.1113328374
846	0.1112742511
847	0.1111762107
848	0.1111441239
849	0.1111033704
850	0.1109599569
851	0.1108726036
852	0.1108237292
853	0.1107528617
854	0.1105603424
855	0.1104866994
856	0.1104501951
857	0.1103848765
858	0.1103069216
859	0.1102364759
860	0.1101658798
861	0.1101143774
862	0.1100571647
863	0.1099804599
864	0.1098539124
865	0.1098094951
866	0.1097636957
867	0.1097025683
868	0.1096225904
869	0.109479473
870	0.1094035089
871	0.1092712397
872	0.109211645
873	0.1091273317
874	0.1090282984
875	0.1088502264
876	0.1087108445
877	0.1086072897
878	0.108560383
879	0.1084944791
880	0.1084265043
881	0.1083411041
882	0.1082213831
883	0.1081493095
884	0.1080558927
885	0.1078449351
886	0.1076837767
887	0.1076517339
888	0.1076114797
889	0.1075067877
890	0.1074318133
891	0.107327245
892	0.1072776569
893	0.1071724938
894	0.1071091763
895	0.1070330322
896	0.1069720705
897	0.1069390363
898	0.1069054598
899	0.1068254603
900	0.1067505009
901	0.1066248743
902	0.106525451
903	0.106434603
904	0.1063067946
905	0.1062607762
906	0.1061886334
907	0.1061096039
908	0.1060338704
909	0.1059591669
910	0.105904771
911	0.105778369
912	0.10573804
913	0.1056668048
914	0.1055942791
915	0.1055317566
916	0.1054607495
917	0.1053154724
918	0.1052142685
919	0.1051568221
920	0.1050810611
921	0.1050258628
922	0.1048396527
923	0.1046946097
924	0.1046413681
925	0.1045599465
926	0.1044639521
927	0.1044167732
928	0.1043742653
929	0.1042596392
930	0.1042274875
931	0.1041726627
932	0.1040519813
933	0.1039646757
934	0.1039132264
935	0.1038396175
936	0.1036763781
937	0.1035946334
938	0.103523066
939	0.103475821
940	0.1033856025
941	0.103331024
942	0.1032716225
943	0.1031819221
944	0.1031456609
945	0.1030433566
946	0.1029683669
947	0.102914526
948	0.1028046196
949	0.1027390771
950	0.1026444434
951	0.1026026883
952	0.1024634814
953	0.1024250964
954	0.102357671
955	0.1022855877
956	0.1022497106
957	0.1021855434
958	0.1021464711
959	0.1020885465
960	0.1019894157
961	0.101942185
962	0.1019166307
963	0.1018138764
964	0.1017225855
965	0.1016306184
966	0.1015524827
967	0.1014237478
968	0.1013746714
969	0.1012972809
970	0.1012518566
971	0.1011189631
972	0.1010439703
973	0.100987275
974	0.1009230187
975	0.1008629273
976	0.100814468
977	0.1007529445
978	0.1006733276
979	0.1005819532
980	0.100510615
981	0.1004286472
982	0.1002582409
983	0.1001946347
984	0.1001595647
985	0.1001435387
986	0.100093706
987	0.1000443708
988	0.100013214
989	0.09993034058
990	0.0998503568
991	0.09982883962
992	0.09976503928
993	0.09973323526
994	0.09968480958
995	0.09959611225
996	0.09953391894
997	0.09946754123
998	0.0993650741
999	0.09927421914
